"src_ip","dst_ip","src_port","dst_port","domain","result","pkt_size","created_at","comments"
"127.0.0.1","127.0.0.1",59880,80,http.loblox.com,0,478,"2023-02-21 15:42:53",
"127.0.0.1","127.0.0.1",59886,80,http.lineage.plaync.com,0,538,"2023-02-21 15:42:56",
"127.0.0.1","127.0.0.1",59890,80,http.lineage.plaync.com,0,501,"2023-02-21 15:42:57",
"127.0.0.1","127.0.0.1",59896,80,http.maplestory.nexon.com,0,1169,"2023-02-21 15:42:58",
"127.0.0.1","127.0.0.1",51820,80,http.loblox.com,0,478,"2023-02-21 15:43:17",
"127.0.0.1","127.0.0.1",53542,80,http.loblox.com,0,478,"2023-02-22 09:18:56",
"127.0.0.1","127.0.0.1",53550,80,http.lineage.plaync.com,0,538,"2023-02-22 09:18:57",
"127.0.0.1","127.0.0.1",53776,80,http.maplestory.nexon.com,0,1103,"2023-02-22 09:18:59",
"127.0.0.1","127.0.0.1",59476,80,http.loblox.com,0,478,"2023-02-22 09:19:11",
"127.0.0.1","127.0.0.1",59488,80,http.lineage.plaync.com,0,538,"2023-02-22 09:19:13",
"127.0.0.1","127.0.0.1",59494,80,http.loblox.com,0,478,"2023-02-22 09:19:15",
"127.0.0.1","127.0.0.1",56364,80,http.maplestory.nexon.com,0,1103,"2023-02-22 09:19:25",
"127.0.0.1","127.0.0.1",56378,80,http.lineage.plaync.com,0,538,"2023-02-22 09:19:27",
"127.0.0.1","127.0.0.1",59238,80,http.maplestory.nexon.com,0,1171,"2023-02-22 10:25:37",
