"id","src_ip","dst_ip","src_port","dst_port","domain","result","pkt_size","created_at","comments"
1,,,,,nginx.org,100,127,2023-02-08 14:12:23.000,
2,"52.58.199.22","52.58.199.22",,,nginx.org,100,127,2023-02-08 14:13:38.000,
3,"3.125.197.172","3.125.197.172",37868,80,nginx.org,100,127,2023-02-08 14:17:25.000,
8,"192.168.111.100","3.125.197.172",38892,80,nginx.org,1,127,2023-02-08 14:20:37.000,
9,"192.168.111.100","185.125.190.49",40850,80,connectivity-check.ubuntu.com,1,141,2023-02-08 14:23:25.000,
10,"192.168.111.100","3.125.197.172",43804,80,nginx.org,0,127,2023-02-08 14:24:00.000,
13,"192.168.111.100","3.125.197.172",59964,80,nginx.org,0,127,2023-02-08 14:28:04.000,
14,"192.168.111.100","121.53.105.210",49824,80,www.daum.net,0,130,2023-02-08 14:28:29.000,
15,"192.168.111.100","121.53.105.210",59664,80,www.daum.net,0,130,2023-02-08 14:28:44.000,
16,"192.168.111.100","121.53.105.210",38148,80,www.daum.net,0,130,2023-02-08 14:29:19.000,
17,"192.168.111.100","121.53.105.210",33402,80,www.daum.net,1,130,2023-02-08 14:29:53.000,
18,"192.168.111.100","185.125.190.49",50630,80,connectivity-check.ubuntu.com,1,141,2023-02-08 14:33:25.000,
19,"192.168.111.100","52.58.199.22",48054,80,nginx.org,1,127,2023-02-08 15:27:40.000,
20,"192.168.111.100","91.189.91.49",44384,80,connectivity-check.ubuntu.com,1,141,2023-02-08 15:28:25.000,
21,"192.168.111.100","52.58.199.22",39318,80,nginx.org,1,127,2023-02-08 15:28:35.000,
22,"192.168.111.100","61.111.13.51",47420,80,www.yes24.com,1,131,2023-02-08 15:31:15.000,
23,"192.168.111.100","185.125.190.17",34490,80,connectivity-check.ubuntu.com,1,141,2023-02-08 15:33:25.000,
24,"192.168.111.100","104.154.89.105",48082,80,http.badssl.com,0,133,2023-02-08 15:36:27.000,
25,"192.168.111.100","34.107.221.82",37990,80,detectportal.firefox.com,1,376,2023-02-08 15:37:52.000,
26,"192.168.111.100","34.107.221.82",38000,80,detectportal.firefox.com,1,378,2023-02-08 15:37:52.000,
27,"192.168.111.100","23.53.228.17",60310,80,r3.o.lencr.org,1,498,2023-02-08 15:37:52.000,
28,"192.168.111.100","23.53.228.17",60310,80,r3.o.lencr.org,1,498,2023-02-08 15:37:53.000,
29,"192.168.111.100","23.53.228.17",60310,80,r3.o.lencr.org,1,498,2023-02-08 15:37:54.000,
30,"192.168.111.100","117.18.237.29",54114,80,ocsp.digicert.com,1,499,2023-02-08 15:37:54.000,
31,"192.168.111.100","172.217.175.3",54222,80,ocsp.pki.goog,1,502,2023-02-08 15:37:55.000,
32,"192.168.111.100","172.217.175.3",54238,80,ocsp.pki.goog,1,501,2023-02-08 15:37:56.000,
